Jahr;Monat/Jahresdurchschnitt;Luftdruck (mittl. Wert auf NN reduziert) hPa;Luftdruck (langjähriger Durchschnitt) hPa;Lufttemperatur (Mittelwert) oC;Lufttemperatur (langjähriger Durchschnitt) oC;Lufttemperatur (Höchstwert) oC;Tagesdatum des Höchstwertes (der Lufttemperatur);Lufttemperatur (Tiefstwert) oC;Tagesdatum des Tiefstwertes (der Lufttemperatur);Sommertage (max. 25 oC bis unter 30 oC);Heiße Tage (max. 30 oC und mehr);Frosttage (min. unter 0 oC);Eistage (max. unter 0 oC);Sonnenscheindauer h;Sonnenscheindauer (langjähriger Durchschnitt) h;Luftfeuchtigkeit (relative Feuchte) %;Luftfeuchtigkeit (relative Feuchte, langjähriger Durchschnitt)  %;Niederschläge  mm;Niederschläge (langjähriger Durchschnitt) mm;Niederschläge (Höchstwert in 24 Std.) mm;Tagesdatum des Höchstwertes (der Niederschläge);Tage mit Regen;Tage mit Schneefall;Tage mit Regen und Schneefall;Tage mit einer Schneedecke (mind. 50% des Bodens schneebedeckt);Tage mit Hagel/Graupel;Tage mit Nebel;Tage mit Gewitter
2013;März;1009;1018;4;7;17;;-8;;0;0;17;0;79;133;79;68;38;65;8;;19;0;0;0;0;0;0
2013;April;1015;1015;11;11;25;;-5;;2;0;5;0;122;168;69;64;61;73;25;;14;0;0;0;0;0;0
2013;Mai;1013;1015;12;15;24;;3;;0;0;0;0;113;201;79;66;159;109;39;;28;0;0;0;0;0;0
2013;Juni;1018;1016;18;19;35;;4;;12;3;0;0;232;227;71;65;56;92;16;;14;0;0;0;0;0;0
2013;Juli;1019;1017;21;21;38;;8;;25;7;0;0;317;249;69;64;71;95;34;;9;0;0;0;0;0;0
2013;August;1018;1016;19;20;36;;8;;16;6;0;0;245;234;72;66;72;86;23;;13;0;0;0;0;0;0
2013;September;1017;1017;16;16;31;;5;;4;2;0;0;153;173;81;72;112;87;22;;16;0;0;0;0;0;0
2013;Oktober;1018;1018;13;12;24;;-1;;0;0;1;0;110;117;84;79;150;83;32;;19;0;0;0;0;0;0
2013;November;1018;1018;6;6;18;;-8;;0;0;10;0;56;71;84;80;100;67;25;;17;0;0;0;0;0;0
2013;Dezember;1024;1019;3;4;17;;-7;;0;0;20;2;99;53;83;80;100;75;41;;12;0;0;0;0;0;0
